country,origin_quarter,horizon_quarters,target_quarter,macro_feature_quarter,trade_graph_quarter,cpi_yoy_input,energy_cpi_yoy_input,target_cpi_yoy,split
LUX,2017Q1,4,2018Q1,2016Q4,2016Q4,0.9769923307769268,-3.2265907196443178,1.171951940122118,test
LVA,2017Q1,4,2018Q1,2016Q4,2016Q4,1.4673366834170751,-5.303392259913975,2.0323476556118214,test
MLT,2017Q1,4,2018Q1,2016Q4,2016Q4,0.7569414207723391,-0.3124370086675987,1.2823101777059698,test
NLD,2017Q1,4,2018Q1,2016Q4,2016Q4,0.4639983977033468,-5.145815007781307,1.251452282157639,test
AUT,2017Q2,4,2018Q2,2017Q1,2017Q1,2.180208368005898,0.4610655737705027,2.135426762292414,test
BEL,2017Q2,4,2018Q2,2017Q1,2017Q1,2.9556323060573986,17.930890634777175,2.1612448770491843,test
BGR,2017Q2,4,2018Q2,2017Q1,2017Q1,0.7687898303941676,-0.2967359050445095,2.3508924684370935,test
CYP,2017Q2,4,2018Q2,2017Q1,2017Q1,1.191334500635155,16.339457843175808,0.8036279969322324,test
CZE,2017Q2,4,2018Q2,2017Q1,2017Q1,2.4983344437041977,-1.4271490209094018,2.072538860103612,test
DEU,2017Q2,4,2018Q2,2017Q1,2017Q1,1.7833109017496571,2.2847100175747093,1.9281045751633696,test
DNK,2017Q2,4,2018Q2,2017Q1,2017Q1,0.836120401337781,0.3394433129667584,0.924397490921125,test
EST,2017Q2,4,2018Q2,2017Q1,2017Q1,3.091231474356815,-0.1175738294487582,3.284135199028815,test
FIN,2017Q2,4,2018Q2,2017Q1,2017Q1,1.0822004742977454,6.585357544373682,1.0126249342451432,test
FRA,2017Q2,4,2018Q2,2017Q1,2017Q1,1.4576770993900867,4.876725336588983,2.14609175034457,test
GRC,2017Q2,4,2018Q2,2017Q1,2017Q1,1.540644638151245,11.443090895984987,0.7428496629360737,test
HRV,2017Q2,4,2018Q2,2017Q1,2017Q1,1.1462771353215606,-5.906983182227165,1.7952369911562904,test
HUN,2017Q2,4,2018Q2,2017Q1,2017Q1,2.6371343363602806,0.2967161193532464,2.805981769228283,test
IRL,2017Q2,4,2018Q2,2017Q1,2017Q1,0.3701211305518148,1.8040325433321236,0.4320372216683132,test
ITA,2017Q2,4,2018Q2,2017Q1,2017Q1,1.3490725126475978,-1.5851602023608469,0.978792822185981,test
LTU,2017Q2,4,2018Q2,2017Q1,2017Q1,2.9527690560491537,-4.875841962400706,2.5341068468698325,test
LUX,2017Q2,4,2018Q2,2017Q1,2017Q1,2.5691100710461434,3.115062156692705,1.9319257252880195,test
LVA,2017Q2,4,2018Q2,2017Q1,2017Q1,3.109628731217584,-1.3778226227340484,2.374355670103112,test
MLT,2017Q2,4,2018Q2,2017Q1,2017Q1,1.2678936605317048,-0.3124370086675987,1.724804951963388,test
NLD,2017Q2,4,2018Q2,2017Q1,2017Q1,1.3047718330699398,-0.2424998267858136,1.526592252133896,test
AUT,2017Q3,4,2018Q3,2017Q2,2017Q2,2.1550443879740255,-1.072386058981245,2.2439529838422567,test
BEL,2017Q3,4,2018Q3,2017Q2,2017Q2,2.0353490803358465,9.03731515331161,2.7314696075916745,test
BGR,2017Q3,4,2018Q3,2017Q2,2017Q2,1.3852578684684147,3.321284866671226,3.623744536020568,test
CYP,2017Q3,4,2018Q3,2017Q2,2017Q2,1.2868143744933835,27.65103506548372,1.583253287403541,test
CZE,2017Q3,4,2018Q3,2017Q2,2017Q2,2.319416832339316,-0.8378016085790696,2.2602518566354535,test
DEU,2017Q3,4,2018Q3,2017Q2,2017Q2,1.6611295681063345,0.871080139372804,2.201359663321467,test
DNK,2017Q3,4,2018Q3,2017Q2,2017Q2,0.6981382978723083,-1.224906430758721,0.7220216606498298,test
EST,2017Q3,4,2018Q3,2017Q2,2017Q2,3.395653035608115,0.3959632770341059,3.460469815610012,test
FIN,2017Q3,4,2018Q3,2017Q2,2017Q2,0.9324705491952744,5.094447624499132,1.397448996407502,test
FRA,2017Q3,4,2018Q3,2017Q2,2017Q2,1.0310645492822346,4.149787234042535,2.555092121251912,test
GRC,2017Q3,4,2018Q3,2017Q2,2017Q2,1.3431499353298015,9.934888380080164,0.931595233392568,test
HRV,2017Q3,4,2018Q3,2017Q2,2017Q2,1.1457670273710807,-4.905259429785735,1.994922016684808,test
HUN,2017Q3,4,2018Q3,2017Q2,2017Q2,2.1099701888042333,0.6241030604412057,3.519166019165998,test
IRL,2017Q3,4,2018Q3,2017Q2,2017Q2,0.0332446808510411,-0.7324729682594899,1.0285335102853566,test
ITA,2017Q3,4,2018Q3,2017Q2,2017Q2,1.590984421610897,5.4441260744985565,1.6539861065167027,test
LTU,2017Q3,4,2018Q3,2017Q2,2017Q2,3.401450230718539,-1.8555127804945504,2.180209427416524,test
LUX,2017Q3,4,2018Q3,2017Q2,2017Q2,2.003927965114327,2.8982845388090706,2.530033951423327,test
LVA,2017Q3,4,2018Q3,2017Q2,2017Q2,3.0305041988913484,1.3456445494237856,2.9129041654529564,test
MLT,2017Q3,4,2018Q3,2017Q2,2017Q2,1.1049903843019626,-0.1043630487476354,2.3722976850966138,test
NLD,2017Q3,4,2018Q3,2017Q2,2017Q2,1.0415975585484016,1.1079065841305802,1.7912594384336122,test
AUT,2017Q4,4,2018Q4,2017Q3,2017Q3,2.2108224391858444,-1.3702347035680296,2.128746050489938,test
BEL,2017Q4,4,2018Q4,2017Q3,2017Q3,1.921317474839901,5.045402225348528,2.766370610893598,test
BGR,2017Q4,4,2018Q4,2017Q3,2017Q3,0.8751556767309321,4.714792576419202,2.9830913862405772,test
CYP,2017Q4,4,2018Q4,2017Q3,2017Q3,0.1825059729227529,10.33814928148118,1.5228084360892291,test
CZE,2017Q4,4,2018Q4,2017Q3,2017Q3,2.414021164021163,-0.3031323678005626,1.7684887459806786,test
DEU,2017Q4,4,2018Q4,2017Q3,2017Q3,1.8127883981542416,1.225919439579637,2.147039687703356,test
DNK,2017Q4,4,2018Q4,2017Q3,2017Q3,1.532822392535782,-0.344946533287338,0.6912442396312946,test
EST,2017Q4,4,2018Q4,2017Q3,2017Q3,4.0268015502857635,3.0048203792969685,3.6723968721309457,test
FIN,2017Q4,4,2018Q4,2017Q3,2017Q3,0.7236994987219081,5.282343808012979,1.4872939785934849,test
FRA,2017Q4,4,2018Q4,2017Q3,2017Q3,0.9481815469283728,2.552787018806457,2.1854347968330856,test
GRC,2017Q4,4,2018Q4,2017Q3,2017Q3,0.8498771661908044,9.333190241110412,1.1482529446601442,test
HRV,2017Q4,4,2018Q4,2017Q3,2017Q3,1.4382713984680606,-4.14622957761387,1.320512398327134,test
HUN,2017Q4,4,2018Q4,2017Q3,2017Q3,2.4749518943666393,0.7477384250759389,3.292777134028557,test
IRL,2017Q4,4,2018Q4,2017Q3,2017Q3,0.1328903654485014,-0.0704473406128891,0.9000000000000119,test
ITA,2017Q4,4,2018Q4,2017Q3,2017Q3,1.3069705093834203,3.837953091684465,1.471068976789791,test
