iso3,quarter,split,actual,arima_pred,var_pred
CAN,2021Q3,test,4.7261270292539015,4.132666403143847,3.9201264514417216
CAN,2021Q4,test,5.831543317571475,4.840390152802105,4.009950409513698
CAN,2022Q1,test,7.546720674830576,6.039991438600112,4.005455747223463
CAN,2022Q2,test,7.152880279121221,7.922788171056098,7.002441327256883
CAN,2022Q3,test,6.665122051452088,6.990075628572247,5.952461726651922
CAN,2022Q4,test,5.147388450577295,6.591622790722077,5.8664165775637205
CAN,2023Q1,test,3.519561176162367,4.805356699566053,3.1571930519504874
CAN,2023Q2,test,3.686723229592293,3.1700512957438765,2.507250508608922
CAN,2023Q3,test,3.211124685883182,3.8269933693748883,3.4212680808070712
CAN,2023Q4,test,2.8466717362478633,3.0510746944329044,3.063253972301051
CAN,2024Q1,test,2.741166554336272,2.79278419941147,2.668290413555421
CAN,2024Q2,test,2.040830999541199,2.7273081276363804,2.7178441067126258
CAN,2024Q3,test,1.9129736538092248,1.8557978640797674,1.9578534769109597
CAN,2024Q4,test,,1.9281417599829658,1.8731653584145858
CHE,2019Q1,val,0.6474238283293632,0.5543853096822013,0.24863614950489507
CHE,2019Q2,val,0.2593595876594357,0.6789976866418226,0.5496844383308936
CHE,2019Q3,val,-0.0765413207809539,0.1183678836441433,0.17760580043826246
CHE,2019Q4,val,-0.1261355913088069,-0.14228561575298523,0.11437883696511203
CHE,2020Q1,val,-1.220904420625346,-0.12061833026686045,-0.5855944578399039
CHE,2020Q2,val,-0.8620655673083344,-1.594506942626018,-1.3637315856464323
CHE,2020Q3,val,-0.6895644354636299,-0.661660032422857,-0.772809316429057
CHE,2020Q4,val,-0.4311195902036213,-0.6972881018234107,-0.8332217246857645
CHE,2021Q1,test,0.494464087311619,-0.3548501560133108,1.189882658837183
CHE,2021Q2,test,0.8343061216578018,0.7511569291026665,1.2876175225762354
CHE,2021Q3,test,1.4350570287413156,0.8591640014345256,0.20408687453318033
CHE,2021Q4,test,2.062529492775655,1.6096135485823269,2.1629049059909087
CHE,2022Q1,test,2.958938450984427,2.2035338089691847,1.1748729046253696
