source_iso3,target_iso3,edge_attr,abs_edge_attr,case_study,forecast_quarter
KOR,DEU,0.027744902996346354,0.034141619922593236,energy_shock_2022,2022Q2
MEX,DEU,0.027431259863078594,0.033955768682062626,energy_shock_2022,2022Q2
CAN,DEU,0.026949099963530898,0.03337742970325053,energy_shock_2022,2022Q2
VNM,DEU,0.02668944583274424,0.0333592367824167,energy_shock_2022,2022Q2
BRA,DEU,0.02716713584959507,0.0329977348446846,energy_shock_2022,2022Q2
ZAF,DEU,0.026724655646830797,0.032861392479389906,energy_shock_2022,2022Q2
AUS,DEU,0.026375388028100133,0.032556212274357677,energy_shock_2022,2022Q2
TUR,DEU,0.026990481186658144,0.03250227263197303,energy_shock_2022,2022Q2
SGP,DEU,0.026231716154143214,0.0324671093840152,energy_shock_2022,2022Q2
SAU,DEU,0.025623482186347246,0.032349619548767805,energy_shock_2022,2022Q2
IDN,DEU,0.02534028305672109,0.03151710727252066,energy_shock_2022,2022Q2
ARG,DEU,0.023787962505593896,0.02857337868772447,energy_shock_2022,2022Q2
DEU,DEU,1.7474440738851627e-06,2.1569607469018592e-06,energy_shock_2022,2022Q2
CHN,DEU,-0.008767784020164981,0.012726131099043414,baseline_calm,2017Q2
NLD,DEU,-0.007833362324163318,0.012716253520920873,baseline_calm,2017Q2
FRA,DEU,-0.00777649792144075,0.012685617140959948,baseline_calm,2017Q2
USA,DEU,-0.007862619997467846,0.0125886729802005,baseline_calm,2017Q2
ITA,DEU,-0.007641870528459549,0.012493500369600952,baseline_calm,2017Q2
RUS,DEU,-0.006700341473333538,0.012445388012565672,baseline_calm,2017Q2
CHE,DEU,-0.007550575537607074,0.01216433709487319,baseline_calm,2017Q2
GBR,DEU,-0.008108157257083803,0.011991148523520678,baseline_calm,2017Q2
IND,DEU,-0.0075515709759201854,0.011498261039378121,baseline_calm,2017Q2
KOR,DEU,-0.007022208592388779,0.011437239649239928,baseline_calm,2017Q2
ZAF,DEU,-0.0060217855498194695,0.011416667839512229,baseline_calm,2017Q2
MEX,DEU,-0.0064879333367571235,0.011339646182022989,baseline_calm,2017Q2
JPN,DEU,-0.007254885858856142,0.011297932360321283,baseline_calm,2017Q2
TUR,DEU,-0.007996166692464612,0.01125809691438917,baseline_calm,2017Q2
CAN,DEU,-0.006777434376999736,0.011187894968315959,baseline_calm,2017Q2
BRA,DEU,-0.00731158081907779,0.011135332868434489,baseline_calm,2017Q2
VNM,DEU,-0.007252214418258518,0.011103283904958516,baseline_calm,2017Q2
AUS,DEU,-0.0063932324992492795,0.01097335887607187,baseline_calm,2017Q2
SGP,DEU,-0.007360789109952748,0.010706619126722217,baseline_calm,2017Q2
IDN,DEU,-0.006579497421626002,0.010663480556104332,baseline_calm,2017Q2
SAU,DEU,-0.006220131181180477,0.010424865991808474,baseline_calm,2017Q2
ARG,DEU,-0.006896203398355283,0.008974900803877972,baseline_calm,2017Q2
DEU,DEU,-4.4981474189853543e-07,7.229255274410207e-07,baseline_calm,2017Q2
DEU,CHE,0.02867540204897523,0.033748438116163015,partner_spillover_dominant,2022Q2
USA,CHE,0.028214692370966077,0.03354532062076032,partner_spillover_dominant,2022Q2
TUR,CHE,0.02366576623171568,0.032550922594964504,partner_spillover_dominant,2022Q2
CHN,CHE,0.027451728703454137,0.03209267440252006,partner_spillover_dominant,2022Q2
GBR,CHE,0.02672089310362935,0.031945628579705954,partner_spillover_dominant,2022Q2
ITA,CHE,0.02640041639097035,0.03164482372812927,partner_spillover_dominant,2022Q2
FRA,CHE,0.026466493029147387,0.03134745405986905,partner_spillover_dominant,2022Q2
