iso3,quarter,actual,stgnn_pred,split
ARG,2020Q1,43.88750076293945,51.09404754638672,val
AUS,2020Q1,-0.3484431803226471,2.873856544494629,val
BRA,2020Q1,2.1363415718078613,4.51838493347168,val
CAN,2020Q1,0.02445283718407154,2.4956679344177246,val
CHE,2020Q1,-1.2209044694900513,0.5639066696166992,val
CHN,2020Q1,2.7219300270080566,5.6772966384887695,val
DEU,2020Q1,0.41188204288482666,2.3271090984344482,val
FRA,2020Q1,0.2970012426376343,1.888214111328125,val
GBR,2020Q1,0.8039579391479492,2.3533859252929688,val
IDN,2020Q1,2.1129536628723145,3.6047966480255127,val
IND,2020Q1,5.201691627502441,7.304082870483398,val
ITA,2020Q1,-0.12940795719623566,0.9883303642272949,val
JPN,2020Q1,0.13341297209262848,1.3702560663223267,val
KOR,2020Q1,0.008706601336598396,1.6642450094223022,val
MEX,2020Q1,2.772686004638672,4.08036470413208,val
NLD,2020Q1,1.3118983507156372,2.3072099685668945,val
RUS,2020Q1,3.112309694290161,3.113590955734253,val
SAU,2020Q1,0.9603554606437683,1.8259599208831787,val
SGP,2020Q1,0.567829966545105,1.253767490386963,val
TUR,2020Q1,11.652033805847168,12.807817459106445,val
USA,2020Q1,0.40927621722221375,2.8617653846740723,val
VNM,2020Q1,2.795823574066162,3.4862000942230225,val
ZAF,2020Q1,2.3666188716888428,5.004056453704834,val
ARG,2020Q2,39.79948425292969,43.06631851196289,val
AUS,2020Q2,0.6931692361831665,-1.1949777603149414,val
BRA,2020Q2,2.626537799835205,1.2884037494659424,val
CAN,2020Q2,0.26829051971435547,-0.8272170424461365,val
CHE,2020Q2,-0.8620655536651611,-2.0755274295806885,val
CHN,2020Q2,1.9583842754364014,1.8270022869110107,val
DEU,2020Q2,-0.9165032505989075,-0.4670891761779785,val
FRA,2020Q2,0.34742143750190735,-0.5658573508262634,val
GBR,2020Q2,0.769941508769989,-0.061933934688568115,val
IDN,2020Q2,1.1993789672851562,1.2670944929122925,val
IND,2020Q2,5.530690670013428,4.338500022888184,val
ITA,2020Q2,-0.48465266823768616,-0.991947591304779,val
JPN,2020Q2,0.03334212303161621,-0.7383114099502563,val
KOR,2020Q2,0.7218353748321533,-0.8579145073890686,val
MEX,2020Q2,3.8952760696411133,1.9245460033416748,val
NLD,2020Q2,1.1621023416519165,0.45003992319107056,val
RUS,2020Q2,3.535468816757202,2.262155055999756,val
